                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.3614,                0.70795,                 1.0252,                0.91794,                0.85097,                0.92159,                0.53765,                 1.1979,                0.56358,                 0.9999,              0.0076023,              0.0076023,              0.0076023
                     64,                 1.3839,                 0.7167,                 1.0322,                0.91676,                0.84965,                 0.9206,                 0.5362,                 1.2004,                0.56356,                 1.0003,              0.0075637,              0.0075637,              0.0075637
                     65,                 1.3617,                0.70635,                 1.0313,                0.91707,                0.85679,                0.92421,                0.54243,                 1.1904,                0.55596,                0.99019,               0.007525,               0.007525,               0.007525
                     66,                 1.3782,                0.71717,                  1.033,                0.91951,                0.84899,                0.91891,                0.53906,                 1.1915,                0.55853,                0.99431,              0.0074863,              0.0074863,              0.0074863
                     67,                 1.3693,                0.71458,                 1.0286,                0.91234,                0.85955,                0.92524,                0.54008,                  1.209,                0.58562,                 1.0124,              0.0074477,              0.0074477,              0.0074477
                     68,                 1.3655,                0.70432,                 1.0268,                0.92071,                0.86086,                0.92693,                 0.5472,                 1.2039,                0.55331,                 1.0013,               0.007409,               0.007409,               0.007409
                     69,                 1.3634,                0.70865,                 1.0276,                 0.9236,                0.86099,                0.93131,                0.54778,                  1.181,                0.54358,                0.99361,              0.0073703,              0.0073703,              0.0073703
                     70,                 1.3548,                0.69786,                 1.0224,                0.92085,                0.86185,                0.92965,                0.54613,                 1.1752,                0.55062,                0.99389,              0.0073316,              0.0073316,              0.0073316
                     71,                 1.3466,                0.69104,                 1.0233,                0.92796,                 0.8579,                0.92741,                0.54788,                 1.1745,                0.54693,                0.99114,               0.007293,               0.007293,               0.007293
                     72,                 1.3587,                0.70271,                 1.0225,                0.93724,                0.86251,                 0.9329,                0.54955,                 1.1837,                0.54493,                0.99614,              0.0072543,              0.0072543,              0.0072543
                     73,                 1.3752,                0.70527,                 1.0294,                0.91876,                0.86876,                0.93258,                0.55182,                 1.1815,                0.54237,                  0.997,              0.0072156,              0.0072156,              0.0072156
                     74,                 1.3753,                0.69508,                 1.0287,                0.92793,                0.86317,                0.93286,                0.54862,                 1.1844,                0.54063,                0.99068,               0.007177,               0.007177,               0.007177
                     75,                 1.3499,                0.69335,                 1.0253,                0.93532,                0.86449,                0.93236,                0.55157,                 1.1852,                0.53392,                0.99451,              0.0071383,              0.0071383,              0.0071383
                     76,                 1.3726,                0.70015,                 1.0218,                0.92903,                0.86812,                0.93705,                0.54884,                 1.1862,                0.54061,                0.99439,              0.0070996,              0.0070996,              0.0070996
                     77,                 1.3512,                0.69156,                 1.0166,                0.92961,                0.87076,                0.93499,                0.54756,                 1.1793,                0.53815,                 0.9892,              0.0070609,              0.0070609,              0.0070609
                     78,                 1.3429,                0.69213,                 1.0161,                0.91755,                0.87306,                0.93319,                0.54878,                 1.1719,                0.54354,                 0.9937,              0.0070223,              0.0070223,              0.0070223
                     79,                 1.3525,                0.69161,                 1.0206,                0.92771,                0.87108,                0.93562,                0.55235,                 1.1709,                0.53403,                0.99073,              0.0069836,              0.0069836,              0.0069836
                     80,                  1.334,                0.68026,                 1.0163,                0.93417,                0.87498,                 0.9357,                0.54413,                 1.1835,                0.53195,                0.99025,              0.0069449,              0.0069449,              0.0069449
                     81,                 1.3422,                0.68504,                 1.0165,                0.92621,                0.88295,                0.93898,                0.55428,                 1.1684,                0.53196,                 0.9858,              0.0069063,              0.0069063,              0.0069063
                     82,                 1.3391,                0.68444,                 1.0172,                0.92435,                0.87537,                0.93708,                0.55275,                 1.1677,                  0.528,                0.98891,              0.0068676,              0.0068676,              0.0068676
                     83,                 1.3246,                0.67343,                 1.0108,                0.92998,                0.87145,                   0.94,                0.54976,                 1.1785,                0.53087,                 0.9944,              0.0068289,              0.0068289,              0.0068289
                     84,                 1.3236,                0.66933,                 1.0089,                 0.9245,                0.87076,                0.93794,                0.55428,                 1.1743,                 0.5448,                0.98942,              0.0067902,              0.0067902,              0.0067902
                     85,                 1.3305,                0.67808,                 1.0127,                0.92367,                0.87382,                0.93505,                0.55798,                  1.152,                0.51781,                0.98287,              0.0067516,              0.0067516,              0.0067516
                     86,                 1.3281,                0.67312,                 1.0132,                0.92195,                0.88022,                0.93715,                0.56065,                 1.1536,                 0.5171,                0.98539,              0.0067129,              0.0067129,              0.0067129
                     87,                 1.3181,                0.66756,                 1.0037,                0.92984,                0.87273,                0.93636,                0.55638,                 1.1553,                0.52728,                0.98735,              0.0066742,              0.0066742,              0.0066742
                     88,                 1.3263,                0.66561,                 1.0109,                0.92669,                0.87669,                0.94005,                0.55729,                 1.1594,                0.52453,                 0.9873,              0.0066355,              0.0066355,              0.0066355
                     89,                 1.3413,                0.67885,                 1.0151,                0.92849,                0.88189,                0.94317,                0.56042,                 1.1514,                 0.5164,                0.98781,              0.0065969,              0.0065969,              0.0065969
                     90,                 1.3229,                0.66789,                 1.0068,                 0.9247,                0.87864,                0.93716,                0.56222,                 1.1522,                0.51307,                0.98533,              0.0065582,              0.0065582,              0.0065582
